Filename, Package, Minor, Major, Total, Ownership, #Bugs
TestIndexInput.java,org.apache.lucene.index,0,2,2,0.50,0
DocValuesConsumer.java,org.apache.lucene.codecs,0,5,5,0.42,0
PerFieldPostingsFormat.java,org.apache.lucene.codecs.perfield,0,4,4,0.55,0
SharedFSAutoReplicaFailoverTest.java,org.apache.solr.cloud,0,6,6,0.17,1
TestCharacterUtils.java,org.apache.lucene.analysis.util,0,3,3,0.50,0
RemoveBlankFieldUpdateProcessorFactory.java,org.apache.solr.update.processor,0,0,0,0.00,0
DictionaryFactory.java,org.apache.solr.spelling.suggest,0,0,0,0.00,0
TernaryTree.java,org.apache.lucene.analysis.compound.hyphenation,0,1,1,1.00,0
SolrDocumentTest.java,org.apache.solr.common,0,1,1,1.00,0
TestBinaryResponseWriter.java,org.apache.solr.request,0,0,0,0.00,0
ScriptTransformer.java,org.apache.solr.handler.dataimport,0,0,0,0.00,0
KeywordRepeatFilterFactory.java,org.apache.lucene.analysis.miscellaneous,0,0,0,0.00,0
ClusterStateMutator.java,org.apache.solr.cloud.overseer,0,1,1,1.00,0
TestOrdinalMap.java,org.apache.lucene.index,0,3,3,0.43,0
TestSolr4Spatial2.java,org.apache.solr.search,0,2,2,0.80,1
RandomAccessOrds.java,org.apache.lucene.index,0,1,1,1.00,0
TestTeeSinkTokenFilter.java,org.apache.lucene.analysis.sinks,0,4,4,0.56,1
Row.java,org.egothor.stemmer,0,1,1,1.00,0
TestFullStrip.java,org.apache.lucene.analysis.hunspell,0,1,1,1.00,0
Test2BPostings.java,org.apache.lucene.index,0,5,5,0.29,0
NRTCachingDirectory.java,org.apache.lucene.store,0,6,6,0.47,0
IndicNormalizationFilter.java,org.apache.lucene.analysis.in,0,0,0,0.00,0
TestFreeTextSuggester.java,org.apache.lucene.search.suggest.analyzing,0,7,7,0.38,0
TestSmartChineseAnalyzer.java,org.apache.lucene.analysis.cn.smart,0,2,2,0.67,0
SolrMorphlineTest.java,org.apache.solr.morphlines.solr,0,3,3,0.50,0
TestManagedSchemaFieldTypeResource.java,org.apache.solr.rest.schema,0,3,3,0.33,0
RequestHandlersTest.java,org.apache.solr.core,0,1,1,1.00,0
FastCharStream.java,org.apache.lucene.queryparser.surround.parser,0,0,0,0.00,0
FilterCellIterator.java,org.apache.lucene.spatial.prefix.tree,0,1,1,1.00,0
ScriptAttributeImpl.java,org.apache.lucene.analysis.icu.tokenattributes,0,0,0,0.00,0
TestFieldReuse.java,org.apache.lucene.index,0,4,4,0.25,0
